S,Cluster_size_B3,Clusters_B3
49152,80,0.780
49152,81,0.680
49152,82,0.720
49152,83,0.560
49152,84,0.700
49152,85,0.720
49152,86,0.780
49152,87,0.440
49152,88,0.560
49152,89,0.680
49152,90,0.380
49152,91,0.360
49152,92,0.400
49152,93,0.600
49152,94,0.400
49152,95,0.400
49152,96,0.600
49152,97,0.360
49152,98,0.360
49152,99,0.260
49152,100,0.300
49152,101,0.400
49152,102,0.340
49152,103,0.300
49152,104,0.260
49152,105,0.400
49152,106,0.300
49152,107,0.240
49152,108,0.280
49152,109,0.320
49152,110,0.200
49152,111,0.240
49152,112,0.260
49152,113,0.200
49152,114,0.220
49152,115,0.200
49152,116,0.240
49152,117,0.200
49152,118,0.180
49152,119,0.160
49152,120,0.200
49152,121,0.160
49152,122,0.140
49152,123,0.120
49152,124,0.080
49152,125,0.060
49152,126,0.160
49152,127,0.120
49152,128,0.180
49152,129,0.120
49152,130,0.100
49152,131,0.140
49152,132,0.120
49152,133,0.100
49152,134,0.100
49152,135,0.120
49152,136,0.060
49152,137,0.080
49152,138,0.020
49152,139,0.060
49152,140,0.080
49152,141,0.040
49152,142,0.060
49152,143,0.140
49152,144,0.060
49152,145,0.040
49152,146,0.020
49152,147,0.100
49152,148,0.080
49152,149,0.020
49152,150,0.080
49152,151,0.020
49152,153,0.060
49152,154,0.080
49152,155,0.040
49152,156,0.020
49152,157,0.120
49152,158,0.040
49152,159,0.040
49152,160,0.020
49152,161,0.020
49152,162,0.020
49152,164,0.080
49152,165,0.040
49152,166,0.020
49152,167,0.080
49152,168,0.020
49152,169,0.020
49152,170,0.020
49152,171,0.020
49152,172,0.020
49152,174,0.020
49152,175,0.020
49152,176,0.020
49152,177,0.020
49152,179,0.020
49152,180,0.020
49152,181,0.040
49152,185,0.040
49152,186,0.020
49152,187,0.060
49152,188,0.020
49152,189,0.020
49152,191,0.020
49152,192,0.020
49152,193,0.020
49152,195,0.020
49152,196,0.020
49152,198,0.020
49152,200,0.020
49152,201,0.020
49152,208,0.020
49152,211,0.020
49152,213,0.020
49152,218,0.020
49152,224,0.020
49152,232,0.020
