S,Cluster_size_B5,Clusters_B5
49152,154,0.240
49152,155,0.220
49152,156,0.300
49152,157,0.300
49152,158,0.160
49152,159,0.240
49152,160,0.360
49152,161,0.240
49152,162,0.140
49152,163,0.080
49152,164,0.300
49152,165,0.100
49152,166,0.220
49152,167,0.200
49152,168,0.060
49152,169,0.100
49152,170,0.200
49152,171,0.280
49152,172,0.120
49152,173,0.140
49152,174,0.120
49152,175,0.120
49152,176,0.100
49152,177,0.160
49152,178,0.180
49152,179,0.080
49152,180,0.100
49152,181,0.120
49152,182,0.160
49152,183,0.120
49152,184,0.080
49152,185,0.180
49152,186,0.080
49152,187,0.120
49152,188,0.040
49152,189,0.120
49152,190,0.060
49152,191,0.080
49152,192,0.120
49152,193,0.080
49152,194,0.080
49152,195,0.020
49152,196,0.060
49152,197,0.120
49152,198,0.060
49152,199,0.100
49152,200,0.020
49152,202,0.040
49152,203,0.080
49152,204,0.040
49152,205,0.100
49152,206,0.040
49152,207,0.100
49152,208,0.100
49152,209,0.040
49152,210,0.020
49152,211,0.080
49152,212,0.100
49152,213,0.020
49152,215,0.100
49152,216,0.080
49152,217,0.060
49152,218,0.080
49152,219,0.060
49152,220,0.020
49152,221,0.080
49152,222,0.020
49152,223,0.060
49152,224,0.060
49152,225,0.060
49152,226,0.040
49152,227,0.020
49152,228,0.040
49152,229,0.060
49152,230,0.020
49152,231,0.040
49152,233,0.060
49152,234,0.020
49152,235,0.060
49152,236,0.060
49152,237,0.080
49152,238,0.040
49152,239,0.020
49152,240,0.020
49152,241,0.020
49152,242,0.040
49152,243,0.040
49152,244,0.020
49152,245,0.040
49152,246,0.020
49152,248,0.060
49152,249,0.020
49152,250,0.040
49152,251,0.040
49152,255,0.040
49152,257,0.020
49152,258,0.040
49152,260,0.020
49152,261,0.040
49152,264,0.020
49152,266,0.020
49152,267,0.040
49152,269,0.040
49152,270,0.020
49152,271,0.040
49152,272,0.020
49152,273,0.020
49152,274,0.020
49152,278,0.060
49152,279,0.060
49152,281,0.040
49152,284,0.020
49152,286,0.040
49152,288,0.020
49152,289,0.060
49152,292,0.020
49152,294,0.020
49152,295,0.020
49152,299,0.020
49152,301,0.020
49152,305,0.020
49152,308,0.020
49152,310,0.020
49152,311,0.020
49152,314,0.020
49152,316,0.020
49152,317,0.040
49152,321,0.020
49152,324,0.020
49152,337,0.020
