S,Cluster_size_B4,Cluster_Prob_B4
45875,132,4.02832e-05
45875,133,4.05884e-05
45875,134,8.17871e-05
45875,135,8.23975e-05
45875,137,4.18091e-05
45875,139,8.48389e-05
45875,141,8.60596e-05
45875,143,4.36401e-05
45875,146,4.45557e-05
45875,147,0.000134583
45875,148,4.5166e-05
45875,152,4.63867e-05
45875,153,4.66919e-05
45875,154,4.69971e-05
45875,155,4.73022e-05
45875,160,4.88281e-05
45875,168,5.12695e-05
45875,175,5.34058e-05
49152,1,0.018616
49152,2,0.176846
49152,3,0.0966458
49152,4,0.0688281
49152,5,0.0518738
49152,6,0.0411621
49152,7,0.0332761
49152,8,0.0276123
49152,9,0.023107
49152,10,0.0212006
49152,11,0.018688
49152,12,0.0164209
49152,13,0.0149844
49152,14,0.0142828
49152,15,0.0138474
49152,16,0.0131006
49152,17,0.0123007
49152,18,0.0117499
49152,19,0.0115445
49152,20,0.0108826
49152,21,0.00998474
49152,22,0.00980225
49152,23,0.00941254
49152,24,0.0089502
49152,25,0.00894165
49152,26,0.00829956
49152,27,0.00837982
49152,28,0.00775024
49152,29,0.00754028
49152,30,0.00743408
49152,31,0.0068399
49152,32,0.00615234
49152,33,0.00655609
49152,34,0.00590393
49152,35,0.00604553
49152,36,0.00515259
49152,37,0.00560059
49152,38,0.00475464
49152,39,0.00409424
49152,40,0.00465088
49152,41,0.00366608
49152,42,0.00387085
49152,43,0.00443542
49152,44,0.00373291
49152,45,0.00416107
49152,46,0.00377625
49152,47,0.00331329
49152,48,0.0037793
49152,49,0.00302063
49152,50,0.00326538
49152,51,0.00300385
49152,52,0.00263428
49152,53,0.0035907
49152,54,0.00210938
49152,55,0.00245056
49152,56,0.00240967
49152,57,0.00227875
49152,58,0.00265503
49152,59,0.00250275
49152,60,0.00203247
49152,61,0.00193604
49152,62,0.00149475
49152,63,0.00236481
49152,64,0.00240234
49152,65,0.00144806
49152,66,0.0017926
49152,67,0.00184021
49152,68,0.00166016
49152,69,0.00231628
49152,70,0.00183716
49152,71,0.00149506
49152,72,0.00134033
49152,73,0.00191589
49152,74,0.00164856
49152,75,0.00146484
49152,76,0.00171631
49152,77,0.0016449
49152,78,0.00169006
49152,79,0.000940247
49152,80,0.00119629
49152,81,0.00143372
49152,82,0.002052
49152,83,0.00149445
49152,84,0.00123047
49152,85,0.00160828
49152,86,0.00115479
49152,87,0.000796509
49152,88,0.00118164
49152,89,0.00122223
49152,90,0.00101624
49152,91,0.00111084
49152,92,0.00120728
49152,93,0.00116364
49152,94,0.00103271
49152,95,0.00118866
49152,96,0.00102539
49152,97,0.000858459
49152,98,0.00086731
49152,99,0.000966797
49152,100,0.000946045
49152,101,0.00104797
49152,102,0.00102722
49152,103,0.000534363
49152,104,0.0010791
49152,105,0.000993347
49152,106,0.00100281
49152,107,0.00068573
49152,108,0.000823975
49152,109,0.000565491
49152,110,0.00100708
49152,111,0.000711365
49152,112,0.000546875
49152,113,0.00106903
49152,114,0.000591431
49152,115,0.000526428
49152,116,0.000672607
49152,117,0.000571289
49152,118,0.000360107
49152,119,0.000363159
49152,120,0.000769043
49152,121,0.000849304
49152,122,0.000856323
49152,123,0.000563049
49152,124,0.000378418
49152,125,0.000610352
49152,126,0.000576782
49152,127,0.000426331
49152,128,0.000625
49152,129,0.000314941
49152,130,0.000595093
49152,131,0.00059967
49152,132,0.000523682
49152,133,0.000527649
49152,134,0.000327148
49152,135,0.00032959
49152,136,0.000498047
49152,137,0.000668945
49152,138,0.000421143
49152,139,0.000424194
49152,140,0.000299072
49152,141,0.000430298
49152,142,0.00043335
49152,143,0.000392761
49152,144,0.000439453
49152,145,0.000132751
49152,146,0.00031189
49152,147,0.000314026
49152,148,0.000316162
49152,149,0.00036377
49152,150,0.000183105
49152,151,0.000368652
49152,152,0.000185547
49152,153,0.000326843
49152,154,0.000234985
49152,155,0.000331116
49152,156,0.000380859
49152,157,0.000287476
49152,158,0.000385742
49152,159,0.000242615
49152,160,0.000292969
49152,161,0.000343933
49152,162,0.000148315
49152,163,9.94873e-05
49152,164,0.000300293
49152,165,0.000201416
49152,166,0.000151978
49152,167,0.000203857
49152,168,0.000205078
49152,169,0.000257874
49152,170,0.00010376
49152,171,0.000260925
49152,172,0.00010498
49152,173,0.000316772
49152,174,5.31006e-05
49152,175,0.000267029
49152,176,0.000268555
49152,177,0.000108032
49152,178,5.43213e-05
49152,179,0.000109253
49152,180,0.000164795
49152,181,0.00016571
49152,182,0.000222168
49152,183,0.000111694
49152,184,5.61523e-05
49152,185,0.000282288
49152,186,0.000283813
49152,188,5.7373e-05
49152,189,5.76782e-05
49152,190,5.79834e-05
49152,191,0.000116577
49152,192,5.85937e-05
49152,193,0.000176697
49152,194,0.000118408
49152,196,0.000119629
49152,198,0.00012085
49152,199,6.073e-05
49152,200,0.000183105
49152,201,0.000184021
49152,202,6.16455e-05
49152,203,6.19507e-05
49152,206,6.28662e-05
49152,208,6.34766e-05
49152,210,0.000128174
49152,211,6.43921e-05
49152,215,6.56128e-05
49152,218,6.65283e-05
49152,219,0.0002005
49152,220,6.71387e-05
49152,224,6.83594e-05
49152,225,6.86646e-05
49152,226,6.89697e-05
49152,231,7.04956e-05
49152,232,7.08008e-05
49152,234,7.14111e-05
49152,235,0.000143433
49152,237,7.23267e-05
49152,238,7.26318e-05
49152,245,7.47681e-05
49152,248,7.56836e-05
49152,249,7.59888e-05
49152,252,0.000153809
49152,255,0.00015564
49152,269,0.000164185
49152,278,8.48389e-05
49152,281,8.57544e-05
49152,322,9.82666e-05
